"CUSEC";"longitude";"latitude";"tot_pob"
"1500101001";-8,29653030384856;43,2200041014671;916
"1500101002";-8,26790643268544;43,2030087063412;730
"1500102001";-8,33282580991936;43,2158820860485;716
"1500102002";-8,32208634898146;43,1738930248656;686
"1500103001";-8,26236563545137;43,2378514825621;1457
"1500103002";-8,27756118575981;43,2707448483095;989
"1500201001";-8,69351519545908;42,8923941379106;776
"1500201003";-8,63874786968522;42,9289536469423;875
"1500202001";-8,6429349050221;42,8773803407976;1036
"1500202002";-8,65225792958077;42,8991442933586;1334
"1500203001";-8,62158564356274;42,8422266672395;1594
"1500203002";-8,66267776927612;42,8616838831847;1329
"1500203003";-8,63897476341806;42,8492318102169;1414
"1500203004";-8,59909631265328;42,8482970416986;1623
"1500203005";-8,58069511547757;42,8422332195175;2318
"1500203006";-8,57875868781074;42,8446287454448;1108
"1500203007";-8,64029221250242;42,8637624872361;1876
"1500203008";-8,57703202018019;42,8474886914031;2271
"1500203009";-8,57107260416407;42,8452261170138;2625
"1500203010";-8,628460211655;42,8683635782732;876
"1500203011";-8,65434778921859;42,8551148909274;1780
"1500203012";-8,64359648843592;42,8593812691495;2353
"1500203013";-8,57801006116052;42,8461345199832;2103
"1500203014";-8,58348312864365;42,8491336804026;1225
"1500203015";-8,65698530325735;42,8638005418729;1884
"1500203016";-8,5743384848239;42,8423580216009;1593
"1500301001";-8,01277424018864;43,222757521122;1833
"1500401001";-8,24724838622464;43,423454067728;1059
"1500401002";-8,24109739640427;43,429499680316;1812
"1500401003";-8,27275333642434;43,4417427713629;2306
"1500402001";-8,21401403588763;43,4298986843162;820
"1500501001";-8,51896668820554;43,3045311692976;2980
"1500501002";-8,50938297438951;43,3043805398592;1386
"1500501003";-8,49196570715883;43,3063771330893;1592
"1500501004";-8,49407372825528;43,3284459609296;1701
"1500501005";-8,45627292852835;43,2954257778161;1238
"1500501006";-8,47217228280365;43,3166416696747;2013
"1500501007";-8,51668277922616;43,3154285137323;2441
"1500501008";-8,51076698007924;43,3029385849699;2220
"1500501009";-8,4806040584262;43,3210966581262;1821
"1500501010";-8,50923372121298;43,3014786012557;1745
"1500501011";-8,50125786369443;43,3110670581424;1405
"1500502001";-8,53348992429487;43,282890478069;1272
"1500502002";-8,48845351068577;43,2785753065983;1623
"1500503001";-8,56903929243395;43,2892646480312;1435
"1500504001";-8,46025547764149;43,3303027760073;1933
"1500504002";-8,45886780742393;43,3453465119793;2049
"1500504003";-8,4796104551958;43,3442014351067;2147
"1500504004";-8,44909335527884;43,3393461116976;1893
"1500601001";-8,15779631339159;42,9305143094408;1751
"1500601002";-8,21221577149296;42,9600890296317;1108
"1500601003";-8,11291283442104;42,9250168229093;686
"1500601004";-8,19018214676206;42,894557815502;1190
"1500601007";-8,15820871629797;42,9170470609626;1229
"1500701001";-8,75061398488359;42,9514921494684;1044
"1500701002";-8,71713741450212;42,9669955464762;1306
"1500702001";-8,80197910406494;42,9672236038605;1039
"1500801001";-8,23712244697423;43,3341625276453;1472
"1500801002";-8,26898170555584;43,3203494065143;872
"1500802001";-8,22347606851377;43,3140448333501;1499
"1500803001";-8,2589678111291;43,3060550836819;1959
"1500803002";-8,24614405379531;43,2884242110427;1015
"1500901001";-8,21149933252769;43,2820333753455;1596
"1500901004";-8,21580715112746;43,281322716775;1190
"1500901005";-8,20993951647901;43,2778560600706;1591
"1500901006";-8,20028119067181;43,2742371053252;1913
"1500901007";-8,20064543301797;43,2924498274271;1496
"1500901008";-8,20693331181412;43,268751455365;1584
"1500901009";-8,24971383361414;43,2692916656981;756
"1500901010";-8,22551249055205;43,2711007473555;1456
"1500901012";-8,2091568956189;43,273968515803;1448
"1501001001";-8,16152117519672;43,014747648175;989
"1501002001";-8,08959556519929;42,9996341860943;954
"1501101001";-8,88335294705031;42,6549012923677;1609
"1501101002";-8,88187964132278;42,6470807819402;1632
"1501101003";-8,8899763055797;42,6455154297416;1990
"1501101005";-8,87965587388189;42,6162704692414;1390
"1501101006";-8,87307937870064;42,6217910823816;781
"1501101007";-8,85859181467015;42,6312702262942;1659
"1501101008";-8,87094189616832;42,6482471087814;1617
"1501101009";-8,88309606870089;42,6387689731583;1133
"1501101010";-8,8777441343887;42,6417118345921;1076
"1501102001";-8,85865740245859;42,68017183297;831
"1501102002";-8,86663246611462;42,6677062420042;909
"1501102003";-8,84629154676546;42,7049735545973;702
"1501103001";-8,90644687001525;42,6925958512849;1283
"1501103002";-8,9071650553463;42,6359725978759;1486
"1501103003";-8,92443626765629;42,6567883695803;857
"1501201001";-8,42002557034146;42,8116786823466;689
"1501201002";-8,43968675489463;42,8520306307737;1497
"1501201004";-8,46405966989543;42,8039825456981;1061
"1501201005";-8,36410442401044;42,800238247807;939
"1501301001";-8,69438298315166;42,8616646717895;1793
"1501302001";-8,67653201982153;42,8454527800454;1327
"1501302002";-8,6776110217946;42,8533945299001;2115
"1501303001";-8,66880311020078;42,8240840226123;1681
"1501304001";-8,76030975984426;42,8611312383495;1041
"1501401001";-8,91638184788993;43,2128574943729;1290
"1501401002";-8,96032985340101;43,2007378600344;1230
"1501402001";-8,90218554388404;43,1776604364194;595
"1501402002";-8,85429354176028;43,1910169045719;1070
"1501501001";-8,15156608048706;43,4223637580386;1153
"1501501002";-8,17268444350832;43,4265554315382;1009
"1501501003";-8,12118880267323;43,4377161474167;1197
"1501601001";-9,18168528628055;43,1318484436659;1054
"1501601002";-9,18961379512685;43,1460260547789;1488
"1501601003";-9,15017896016467;43,1639300807685;631
"1501601004";-9,12069437235143;43,1469689911388;972
"1501601005";-9,10495112742547;43,1766665584147;1079
"1501701001";-8,3502826437449;43,2947021965411;1395
"1501701002";-8,3661708946842;43,2834721598171;1472
"1501701003";-8,35666141819587;43,3133915143962;1922
"1501701004";-8,35564525059715;43,3200852502223;2303
"1501701005";-8,3398488300662;43,2998579461518;1686
"1501701006";-8,35149906863864;43,3032536418131;1275
"1501701007";-8,3602839835359;43,3195837624585;1614
"1501701008";-8,35549058857518;43,3162552670552;1662
"1501701009";-8,35579544919958;43,3058954053488;1560
"1501701011";-8,353950286786;43,3177960881041;1940
"1501701012";-8,34562911369992;43,2902998402411;962
"1501702001";-8,35682432357289;43,2698258256018;1307
"1501702002";-8,32246634990121;43,2645638971574;2221
"1501702003";-8,30486818294511;43,2976927937585;2254
"1501702004";-8,31374466229818;43,2786833688516;1043
"1501801001";-8,04220422643115;43,4449264004896;1242
"1501901001";-8,68926553570391;43,2136652091058;987
"1501901002";-8,69687694920839;43,2209593250339;1462
"1501901003";-8,68370883155504;43,2185404443184;2040
"1501901004";-8,69025348902185;43,2094674880139;1787
"1501901005";-8,69310167508095;43,2151826683665;1680
"1501901006";-8,70137444626955;43,2122023593464;913
"1501901007";-8,69374959754336;43,2002715211206;851
"1501901008";-8,72527276014203;43,2157055614774;670
"1501901009";-8,66789264152783;43,2284645984466;1377
"1501901010";-8,64079173232023;43,2161150736588;989
"1501901011";-8,65151687825945;43,1865225894285;594
"1501901012";-8,68088345799593;43,1812412502181;600
"1501901013";-8,74275201509518;43,2382712468286;960
"1501901014";-8,69314088498051;43,2479501226477;574
"1501901015";-8,62324899837475;43,1984488652901;845
"1501901016";-8,60505244697079;43,1711421719663;658
